pca_features,Cluster,pca_x,pca_y,Cluster_Name
"[-1.7453612442407542,-1.0612386668381601]",3,-1.7453612442407542,-1.0612386668381601,Stars
"[0.6383019643185901,1.7305079026026995]",1,0.6383019643185901,1.7305079026026995,Need attention
"[-0.8749848903692328,0.38666942179384767]",3,-0.8749848903692328,0.38666942179384767,Stars
"[1.8564739395855625,0.33594842926152046]",0,1.8564739395855625,0.33594842926152046,Leaky bucket
"[0.3626738147043984,0.4226371973883706]",0,0.3626738147043984,0.4226371973883706,Leaky bucket
"[-0.466959637317809,0.3606966836141082]",1,-0.466959637317809,0.3606966836141082,Need attention
"[-0.1736709077955804,-1.0895849192613252]",3,-0.1736709077955804,-1.0895849192613252,Stars
"[1.3904712149804972,-0.8930682204428477]",0,1.3904712149804972,-0.8930682204428477,Leaky bucket
"[1.4088092688345444,-0.3201290440477268]",0,1.4088092688345444,-0.3201290440477268,Leaky bucket
"[1.8199228116052806,1.7154795055415821]",1,1.8199228116052806,1.7154795055415821,Need attention
"[2.0543276174903884,-1.3898898931870032]",0,2.0543276174903884,-1.3898898931870032,Leaky bucket
"[-1.0552834194870861,0.8785229221609633]",1,-1.0552834194870861,0.8785229221609633,Need attention
"[-0.19294057417563273,1.3196028691043704]",1,-0.19294057417563273,1.3196028691043704,Need attention
"[1.976483736791637,-1.9213697986483385]",0,1.976483736791637,-1.9213697986483385,Leaky bucket
"[-2.3778938078709357,-0.09450968697588435]",3,-2.3778938078709357,-0.09450968697588435,Stars
"[1.0325820232423761,-1.2198167152514339]",0,1.0325820232423761,-1.2198167152514339,Leaky bucket
"[0.1326031630799137,-0.44055188784579674]",1,0.1326031630799137,-0.44055188784579674,Need attention
"[-2.5950367758446244,0.18566628611369296]",3,-2.5950367758446244,0.18566628611369296,Stars
"[1.3257060697973448,-1.6824094349011591]",0,1.3257060697973448,-1.6824094349011591,Leaky bucket
"[0.9091169685880286,-1.9646920773369687]",0,0.9091169685880286,-1.9646920773369687,Leaky bucket
"[0.42051190338572575,-1.6827345701457501]",0,0.42051190338572575,-1.6827345701457501,Leaky bucket
"[-1.1459849339716435,-0.12237544674963013]",1,-1.1459849339716435,-0.12237544674963013,Need attention
"[-0.574985422099487,1.459649924706947]",1,-0.574985422099487,1.459649924706947,Need attention
"[0.10321657976697429,0.20155722496638906]",1,0.10321657976697429,0.20155722496638906,Need attention
"[1.5640199847040148,-0.8500768554496247]",0,1.5640199847040148,-0.8500768554496247,Leaky bucket
"[0.47925223771892295,-0.3833817679268016]",0,0.47925223771892295,-0.3833817679268016,Leaky bucket
"[1.3745584494665333,-0.9206946775129007]",0,1.3745584494665333,-0.9206946775129007,Leaky bucket
"[-2.2516897715167175,0.6413254088550361]",3,-2.2516897715167175,0.6413254088550361,Stars
"[2.535854321063801,0.5047605871785004]",0,2.535854321063801,0.5047605871785004,Leaky bucket
"[0.5930902182199791,-0.021189729302810885]",1,0.5930902182199791,-0.021189729302810885,Need attention
"[0.7964939391727242,-1.15861817022662]",0,0.7964939391727242,-1.15861817022662,Leaky bucket
"[0.026474747101341012,-0.3794037907129021]",1,0.026474747101341012,-0.3794037907129021,Need attention
"[-1.7510803212458894,0.24508238679059313]",1,-1.7510803212458894,0.24508238679059313,Need attention
"[0.3386551865055116,1.0337328286293124]",1,0.3386551865055116,1.0337328286293124,Need attention
"[-0.7218778723804348,0.7051037260915946]",3,-0.7218778723804348,0.7051037260915946,Stars
"[1.6663199953862886,-0.059904818481620145]",0,1.6663199953862886,-0.059904818481620145,Leaky bucket
"[1.1078083045105442,0.8450785869964342]",0,1.1078083045105442,0.8450785869964342,Leaky bucket
"[-0.8681662735057628,0.25762329607619605]",1,-0.8681662735057628,0.25762329607619605,Need attention
"[-1.5792440123255063,-0.7986675254781448]",3,-1.5792440123255063,-0.7986675254781448,Stars
"[1.9010281120790364,-1.1714371477239933]",0,1.9010281120790364,-1.1714371477239933,Leaky bucket
"[1.2567462410995227,-0.3866781719368315]",0,1.2567462410995227,-0.3866781719368315,Leaky bucket
"[2.230359746414058,0.04446957380227004]",0,2.230359746414058,0.04446957380227004,Leaky bucket
"[-0.9828127541236231,1.2795848688701104]",3,-0.9828127541236231,1.2795848688701104,Stars
"[2.407979841548435,-2.2111727623475246]",0,2.407979841548435,-2.2111727623475246,Leaky bucket
"[0.9043886679272042,-0.08805232732456375]",0,0.9043886679272042,-0.08805232732456375,Leaky bucket
"[-1.8960591426256335,-0.5279478445891408]",3,-1.8960591426256335,-0.5279478445891408,Stars
"[-0.41344180355378857,1.8703289266595176]",1,-0.41344180355378857,1.8703289266595176,Need attention
"[-2.3599643803206405,-1.3605357363486026]",3,-2.3599643803206405,-1.3605357363486026,Stars
"[1.1924748889558416,-1.0853384511665325]",0,1.1924748889558416,-1.0853384511665325,Leaky bucket
"[-1.770710777093786,1.0169351329571548]",3,-1.770710777093786,1.0169351329571548,Stars
"[-0.27648852020311554,-0.41309837866826754]",3,-0.27648852020311554,-0.41309837866826754,Stars
"[-2.901221108008317,-0.6207444770982163]",3,-2.901221108008317,-0.6207444770982163,Stars
"[-1.2410791181680174,-0.33762063972272244]",3,-1.2410791181680174,-0.33762063972272244,Stars
